"date","timestep","bob_eta","sm_eta"
2024-09-25,129,-0.000766527484978852,-0.00129089447781094
2024-09-25,130,0.0020732327784776,0.000732009155790969
2024-09-25,131,0.00931827275913744,0.00909459893721376
2024-09-25,132,0.00307562485212287,0.000836012667523534
2024-09-25,133,0.00196832068571506,-0.000272255267687704
2024-09-25,134,0.0111292122596058,0.0091565641562239
2024-09-25,135,0.00322533547445758,0.00203643329390601
2024-09-25,136,0.00708407736508931,0.00427600249317273
2024-09-25,137,-0.0208721247562256,-0.0232641474973114
2024-09-25,138,0.038817715033244,0.0389988090777802
2024-09-25,139,-0.0206032010476624,-0.0242785765391327
2024-09-25,140,0.0132283283717056,0.0117682725302872
2024-09-25,141,0.023828840960185,0.0222948860199308
2024-09-25,142,0.0198839100437311,0.0176065210173943
2024-09-25,143,-0.00724214724934047,-0.00994300549003935
2024-09-25,144,0.0100779494661998,0.00805324899902615
2024-09-26,2,-0.0092976826605291,-0.0124702710485849
2024-09-26,3,0.00430857845040222,0.00319724884698758
2024-09-26,4,-0.00591197291803613,-0.00791589820531335
2024-09-26,5,-0.00178540912713743,-0.00473025740378308
2024-09-26,6,-0.001697443080654,-0.00379047214952166
2024-09-26,7,0.00433690751261739,0.00223498977412717
2024-09-26,8,-0.000365103815547663,-0.00249333308438882
2024-09-26,9,0.00725051565746959,0.00550191783820786
2024-09-26,10,-0.0127802067861484,-0.0162650538995885
2024-09-26,11,0.0259383164131437,0.0258073433299604
2024-09-26,12,0.00421641539457696,0.000678728022895037
2024-09-26,13,0.0162521905026916,0.021961673859817
2024-09-26,14,0.00878043757891156,0.0183593835465565
2024-09-26,15,-0.00283146099702059,0.00521759857597992
2024-09-26,16,0.026614488524257,0.0368127934209141
2024-09-26,17,0.0220834786640047,0.030557062512651
2024-09-26,18,0.055399669660531,0.0644605128823574
2024-09-26,19,0.000273062795967505,0.00938298092589918
2024-09-26,20,0.00421802288717732,0.0151518619590734
2024-09-26,21,-0.0116416044095855,-0.00135182236763143
2024-09-26,22,0.0300192636532381,0.0395788445322971
2024-09-26,23,0.0360311498982506,0.0464189041660674
2024-09-26,24,0.0278702823443711,0.0365329569599959
2024-09-26,25,0.0352676958103055,0.0451253524604365
2024-09-26,26,0.0435043880540222,0.0520815625199775
2024-09-26,27,-0.00632095067374028,-0.000308475448183465
2024-09-26,28,-0.00344291783691197,0.00621461841716275
2024-09-26,29,-0.00344305269301248,0.00583771549983325
2024-09-26,30,-0.00819629745348927,0.00083081958326936
2024-09-26,31,0.0202756836343623,0.0317048471787826
2024-09-26,32,-0.0274873026575309,-0.0195892100668491
2024-09-26,33,-0.0461092614837977,-0.0363669367309294
2024-09-26,34,-0.0135252731633981,-0.00356967806244324
2024-09-26,35,-0.0326456448310628,-0.0261322216553923
2024-09-26,36,0.00289763903624607,0.00532469284913439
